 Sample   Time     Encoder 1 Pos   Encoder 3 Pos   Control Effort 1

[    0    0.000               0               0          0.0000;
     1    0.044               7              -5          2.5006;
     2    0.089              30             -27          2.5006;
     3    0.133              70             -62          2.5006;
     4    0.177             123            -110          2.5006;
     5    0.221             190            -170          2.5006;
     6    0.266             270            -242          2.5006;
     7    0.310             363            -324          2.5006;
     8    0.354             469            -418          2.5006;
     9    0.398             589            -523          2.5006;
    10    0.443             722            -640          2.5006;
    11    0.487             870            -768          2.5006;
    12    0.531            1033            -910          2.5006;
    13    0.576            1212           -1064          2.5006;
    14    0.620            1405           -1230          2.5006;
    15    0.664            1612           -1407          2.5006;
    16    0.708            1832           -1596          2.5006;
    17    0.753            2066           -1795          2.5006;
    18    0.797            2312           -2007          2.5006;
    19    0.841            2576           -2230          2.5006;
    20    0.885            2853           -2463          2.5006;
    21    0.930            3145           -2707          2.5006;
    22    0.974            3452           -2961          2.5006;
    23    1.018            3770           -3223          2.5006;
    24    1.063            4098           -3495          2.5006;
    25    1.107            4439           -3775          2.5006;
    26    1.151            4794           -4063          2.5006;
    27    1.195            5165           -4362          2.5006;
    28    1.240            5552           -4673          2.5006;
    29    1.284            5950           -4996          2.5006;
    30    1.328            6360           -5327          2.5006;
    31    1.372            6783           -5667          2.5006;
    32    1.417            7220           -6016          2.5006;
    33    1.461            7671           -6376          2.5006;
    34    1.505            8134           -6748          2.5006;
    35    1.549            8612           -7131          2.5006;
    36    1.594            9107           -7525          2.5006;
    37    1.638            9615           -7930          2.5006;
    38    1.682           10134           -8347          2.5006;
    39    1.727           10667           -8777          2.5006;
    40    1.771           11219           -9220          2.5006;
    41    1.815           11786           -9674          2.5006;
    42    1.859           12363          -10145          2.5006;
    43    1.904           12956          -10628          2.5006;
    44    1.948           13568          -11126          2.5006;
    45    1.992           14192          -11640          2.5006;
    46    2.036           14832          -12168          2.5006;
    47    2.081           15489          -12710          2.5006;
    48    2.125           16157          -13267          2.5006;
    49    2.169           16842          -13839          2.5006;
    50    2.214           17548          -14426          2.5006;
    51    2.258           18262          -15027          2.5006;
    52    2.302           18992          -15641          2.5006;
    53    2.346           19742          -16269          2.5006;
    54    2.391           20500          -16907          2.5006;
    55    2.435           21274          -17555          2.5006;
    56    2.479           22062          -18216          2.5006;
    57    2.523           22861          -18889          2.5006;
    58    2.568           23677          -19569          2.5006;
    59    2.612           24501          -20257          2.5006;
    60    2.656           25342          -20957          2.5006;
    61    2.701           26194          -21666          2.5006;
    62    2.745           27058          -22385          2.5006;
    63    2.789           27939          -23115          2.5006;
    64    2.833           28829          -23856          2.5006;
    65    2.878           29739          -24607          2.5006;
    66    2.922           30656          -25368          2.5006;
    67    2.966           31596          -26146          2.5006;
    68    3.010           32540          -26936          0.0000;
    69    3.055           33492          -27731          0.0000;
    70    3.099           34436          -28519          0.0000;
    71    3.143           35372          -29301          0.0000;
    72    3.188           36303          -30078          0.0000;
    73    3.232           37227          -30848          0.0000;
    74    3.276           38144          -31610          0.0000;
    75    3.320           39051          -32363          0.0000;
    76    3.365           39953          -33107          0.0000;
    77    3.409           40840          -33840          0.0000;
    78    3.453           41724          -34566          0.0000;
    79    3.497           42593          -35281          0.0000;
    80    3.542           43457          -35984          0.0000;
    81    3.586           44308          -36675          0.0000;
    82    3.630           45151          -37357          0.0000;
    83    3.674           45987          -38028          0.0000;
    84    3.719           46809          -38688          0.0000;
    85    3.763           47629          -39339          0.0000;
    86    3.807           48436          -39979          0.0000;
    87    3.852           49235          -40610          0.0000;
    88    3.896           50027          -41234          0.0000;
    89    3.940           50808          -41847          0.0000;
    90    3.984           51587          -42457          0.0000;
    91    4.029           52354          -43061          0.0000;
    92    4.073           53115          -43659          0.0000;
    93    4.117           53871          -44251          0.0000;
    94    4.161           54614          -44837          0.0000;
    95    4.206           55354          -45416          0.0000;
    96    4.250           56089          -45991          0.0000;
    97    4.294           56813          -46558          0.0000;
    98    4.339           57533          -47119          0.0000;
    99    4.383           58243          -47673          0.0000;
   100    4.427           58945          -48219          0.0000;
   101    4.471           59641          -48756          0.0000;
   102    4.516           60326          -49283          0.0000;
   103    4.560           61002          -49802          0.0000;
   104    4.604           61672          -50312          0.0000;
   105    4.648           62331          -50812          0.0000;
   106    4.693           62979          -51299          0.0000;
   107    4.737           63622          -51775          0.0000;
   108    4.781           64254          -52239          0.0000;
   109    4.826           64875          -52694          0.0000;
   110    4.870           65489          -53137          0.0000;
   111    4.914           66093          -53569          0.0000;
   112    4.958           66686          -53992          0.0000;
   113    5.003           67273          -54405          0.0000;
   114    5.047           67851          -54807          0.0000;
   115    5.091           68418          -55200          0.0000;
   116    5.135           68977          -55584          0.0000;
   117    5.180           69532          -55960          0.0000;
   118    5.224           70078          -56327          0.0000;
   119    5.268           70611          -56685          0.0000;
   120    5.313           71139          -57035          0.0000;
   121    5.357           71662          -57378          0.0000;
   122    5.401           72175          -57712          0.0000;
   123    5.445           72680          -58042          0.0000;
   124    5.490           73178          -58364          0.0000;
   125    5.534           73669          -58679          0.0000;
   126    5.578           74150          -58988          0.0000;
   127    5.622           74623          -59291          0.0000;
   128    5.667           75093          -59589          0.0000;
   129    5.711           75557          -59882          0.0000;
   130    5.755           76012          -60169          0.0000;
   131    5.799           76460          -60450          0.0000;
   132    5.844           76901          -60727          0.0000;
   133    5.888           77338          -60998          0.0000;
   134    5.932           77770          -61264          0.0000]
