 Sample   Time     Encoder 1 Pos   Encoder 3 Pos   Control Effort 1

[    0    0.000               0               0          0.0000;
     1    0.009               0               0          1.7005;
     2    0.018               0               0          1.7005;
     3    0.027               2              -0          1.7005;
     4    0.035               3              -2          1.7005;
     5    0.044               5              -4          1.7005;
     6    0.053               8              -6          1.7005;
     7    0.062              10              -8          1.7005;
     8    0.071              14             -11          1.7005;
     9    0.080              17             -14          1.7005;
    10    0.089              21             -17          1.7005;
    11    0.097              25             -21          1.7005;
    12    0.106              29             -25          1.7005;
    13    0.115              34             -29          1.7005;
    14    0.124              39             -33          1.7005;
    15    0.133              45             -38          1.7005;
    16    0.142              51             -43          1.7005;
    17    0.151              57             -49          1.7005;
    18    0.159              63             -54          1.7005;
    19    0.168              70             -60          1.7005;
    20    0.177              77             -67          1.7005;
    21    0.186              85             -73          1.7005;
    22    0.195              93             -80          1.7005;
    23    0.204             101             -87          1.7005;
    24    0.213             109             -94          1.7005;
    25    0.221             118            -102          1.7005;
    26    0.230             127            -110          1.7005;
    27    0.239             136            -118          1.7005;
    28    0.248             146            -126          1.7005;
    29    0.257             156            -135          1.7005;
    30    0.266             166            -144          1.7005;
    31    0.274             177            -153          1.7005;
    32    0.283             188            -162          1.7005;
    33    0.292             199            -172          1.7005;
    34    0.301             210            -182          1.7005;
    35    0.310             222            -192          1.7005;
    36    0.319             234            -203          1.7005;
    37    0.328             246            -213          1.7005;
    38    0.336             259            -224          1.7005;
    39    0.345             271            -236          1.7005;
    40    0.354             285            -247          1.7005;
    41    0.363             298            -259          1.7005;
    42    0.372             312            -270          1.7005;
    43    0.381             326            -283          1.7005;
    44    0.390             341            -295          1.7005;
    45    0.398             355            -308          1.7005;
    46    0.407             370            -321          1.7005;
    47    0.416             386            -334          1.7005;
    48    0.425             401            -347          1.7005;
    49    0.434             417            -361          1.7005;
    50    0.443             433            -375          1.7005;
    51    0.452             449            -389          1.7005;
    52    0.460             466            -404          1.7005;
    53    0.469             483            -418          1.7005;
    54    0.478             501            -433          1.7005;
    55    0.487             519            -448          1.7005;
    56    0.496             536            -464          1.7005;
    57    0.505             554            -479          1.7005;
    58    0.514             572            -495          1.7005;
    59    0.522             591            -511          1.7005;
    60    0.531             610            -528          1.7005;
    61    0.540             629            -544          1.7005;
    62    0.549             649            -561          1.7005;
    63    0.558             669            -578          1.7005;
    64    0.567             689            -595          1.7005;
    65    0.576             709            -613          1.7005;
    66    0.584             730            -631          1.7005;
    67    0.593             751            -649          1.7005;
    68    0.602             772            -667          1.7005;
    69    0.611             793            -685          1.7005;
    70    0.620             815            -704          1.7005;
    71    0.629             838            -723          1.7005;
    72    0.638             860            -742          1.7005;
    73    0.646             882            -761          1.7005;
    74    0.655             905            -781          1.7005;
    75    0.664             928            -800          1.7005;
    76    0.673             952            -821          1.7005;
    77    0.682             976            -841          1.7005;
    78    0.691            1000            -861          1.7005;
    79    0.699            1024            -882          1.7005;
    80    0.708            1049            -903          1.7005;
    81    0.717            1073            -924          1.7005;
    82    0.726            1099            -945          1.7005;
    83    0.735            1124            -967          1.7005;
    84    0.744            1150            -989          1.7005;
    85    0.753            1176           -1011          1.7005;
    86    0.761            1202           -1033          1.7005;
    87    0.770            1229           -1055          1.7005;
    88    0.779            1256           -1078          1.7005;
    89    0.788            1283           -1100          1.7005;
    90    0.797            1311           -1124          1.7005;
    91    0.806            1338           -1147          1.7005;
    92    0.815            1366           -1170          1.7005;
    93    0.823            1395           -1194          1.7005;
    94    0.832            1423           -1217          1.7005;
    95    0.841            1452           -1241          1.7005;
    96    0.850            1482           -1266          1.7005;
    97    0.859            1511           -1290          1.7005;
    98    0.868            1541           -1315          1.7005;
    99    0.877            1571           -1340          1.7005;
   100    0.885            1601           -1365          1.7005;
   101    0.894            1632           -1390          1.7005;
   102    0.903            1663           -1416          1.7005;
   103    0.912            1695           -1442          1.7005;
   104    0.921            1726           -1468          1.7005;
   105    0.930            1759           -1494          1.7005;
   106    0.939            1791           -1521          1.7005;
   107    0.947            1824           -1548          1.7005;
   108    0.956            1857           -1574          1.7005;
   109    0.965            1891           -1602          1.7005;
   110    0.974            1924           -1629          1.7005;
   111    0.983            1959           -1657          1.7005;
   112    0.992            1994           -1685          1.7005;
   113    1.001            2029           -1713          1.7005;
   114    1.009            2063           -1742          1.7005;
   115    1.018            2099           -1771          1.7005;
   116    1.027            2134           -1799          1.7005;
   117    1.036            2171           -1828          1.7005;
   118    1.045            2208           -1857          1.7005;
   119    1.054            2244           -1887          1.7005;
   120    1.063            2281           -1917          1.7005;
   121    1.071            2318           -1946          1.7005;
   122    1.080            2356           -1976          1.7005;
   123    1.089            2394           -2006          1.7005;
   124    1.098            2431           -2037          1.7005;
   125    1.107            2470           -2067          1.7005;
   126    1.116            2509           -2097          1.7005;
   127    1.124            2547           -2128          1.7005;
   128    1.133            2586           -2159          1.7005;
   129    1.142            2625           -2190          1.7005;
   130    1.151            2665           -2222          1.7005;
   131    1.160            2705           -2253          1.7005;
   132    1.169            2745           -2285          1.7005;
   133    1.178            2785           -2316          1.7005;
   134    1.186            2826           -2348          1.7005;
   135    1.195            2866           -2380          1.7005;
   136    1.204            2907           -2412          1.7005;
   137    1.213            2948           -2445          1.7005;
   138    1.222            2990           -2477          1.7005;
   139    1.231            3032           -2509          1.7005;
   140    1.240            3074           -2542          1.7005;
   141    1.248            3116           -2575          1.7005;
   142    1.257            3159           -2608          1.7005;
   143    1.266            3201           -2641          1.7005;
   144    1.275            3244           -2674          1.7005;
   145    1.284            3288           -2708          1.7005;
   146    1.293            3332           -2741          1.7005;
   147    1.302            3375           -2774          1.7005;
   148    1.310            3420           -2808          1.7005;
   149    1.319            3464           -2842          1.7005;
   150    1.328            3509           -2876          1.7005;
   151    1.337            3554           -2910          1.7005;
   152    1.346            3599           -2944          1.7005;
   153    1.355            3644           -2979          1.7005;
   154    1.364            3690           -3013          1.7005;
   155    1.372            3736           -3048          1.7005;
   156    1.381            3782           -3082          1.7005;
   157    1.390            3829           -3117          1.7005;
   158    1.399            3876           -3152          1.7005;
   159    1.408            3923           -3187          1.7005;
   160    1.417            3970           -3222          1.7005;
   161    1.426            4018           -3257          1.7005;
   162    1.434            4066           -3293          1.7005;
   163    1.443            4114           -3329          1.7005;
   164    1.452            4163           -3364          1.7005;
   165    1.461            4212           -3400          1.7005;
   166    1.470            4261           -3436          1.7005;
   167    1.479            4311           -3472          1.7005;
   168    1.488            4361           -3508          1.7005;
   169    1.496            4410           -3544          1.7005;
   170    1.505            4460           -3581          1.7005;
   171    1.514            4511           -3617          1.7005;
   172    1.523            4561           -3654          1.7005;
   173    1.532            4611           -3691          1.7005;
   174    1.541            4663           -3728          1.7005;
   175    1.549            4714           -3765          1.7005;
   176    1.558            4765           -3802          1.7005;
   177    1.567            4816           -3839          1.7005;
   178    1.576            4868           -3876          1.7005;
   179    1.585            4919           -3913          1.7005;
   180    1.594            4972           -3950          1.7005;
   181    1.603            5024           -3987          1.7005;
   182    1.611            5076           -4025          1.7005;
   183    1.620            5129           -4062          1.7005;
   184    1.629            5182           -4099          1.7005;
   185    1.638            5234           -4136          1.7005;
   186    1.647            5288           -4173          1.7005;
   187    1.656            5342           -4210          1.7005;
   188    1.665            5395           -4248          1.7005;
   189    1.673            5450           -4286          1.7005;
   190    1.682            5504           -4324          1.7005;
   191    1.691            5558           -4363          1.7005;
   192    1.700            5613           -4401          1.7005;
   193    1.709            5668           -4440          1.7005;
   194    1.718            5723           -4478          1.7005;
   195    1.727            5779           -4517          1.7005;
   196    1.735            5835           -4557          1.7005;
   197    1.744            5892           -4596          1.7005;
   198    1.753            5949           -4635          1.7005;
   199    1.762            6006           -4675          1.7005;
   200    1.771            6064           -4715          1.7005;
   201    1.780            6122           -4756          1.7005;
   202    1.789            6180           -4796          1.7005;
   203    1.797            6238           -4836          1.7005;
