 Sample   Time     Encoder 1 Pos   Encoder 3 Pos   Control Effort 1

[    0    0.000               0               0          0.0000;
     1    0.009               2               0          2.0006;
     2    0.018               2               0          2.0006;
     3    0.027               4               0          2.0006;
     4    0.035               6              -1          2.0006;
     5    0.044               8              -4          2.0006;
     6    0.053              11              -6          2.0006;
     7    0.062              14              -9          2.0006;
     8    0.071              18             -12          2.0006;
     9    0.080              22             -16          2.0006;
    10    0.089              27             -20          2.0006;
    11    0.097              32             -25          2.0006;
    12    0.106              37             -30          2.0006;
    13    0.115              44             -35          2.0006;
    14    0.124              50             -41          2.0006;
    15    0.133              57             -47          2.0006;
    16    0.142              64             -53          2.0006;
    17    0.151              72             -60          2.0006;
    18    0.159              80             -67          2.0006;
    19    0.168              89             -75          2.0006;
    20    0.177              98             -83          2.0006;
    21    0.186             108             -91          2.0006;
    22    0.195             118             -99          2.0006;
    23    0.204             128            -108          2.0006;
    24    0.213             139            -117          2.0006;
    25    0.221             150            -127          2.0006;
    26    0.230             161            -137          2.0006;
    27    0.239             173            -147          2.0006;
    28    0.248             185            -158          2.0006;
    29    0.257             198            -169          2.0006;
    30    0.266             211            -180          2.0006;
    31    0.274             225            -192          2.0006;
    32    0.283             239            -204          2.0006;
    33    0.292             253            -216          2.0006;
    34    0.301             268            -229          2.0006;
    35    0.310             283            -242          2.0006;
    36    0.319             299            -255          2.0006;
    37    0.328             315            -269          2.0006;
    38    0.336             331            -283          2.0006;
    39    0.345             347            -297          2.0006;
    40    0.354             365            -312          2.0006;
    41    0.363             382            -327          2.0006;
    42    0.372             400            -342          2.0006;
    43    0.381             419            -358          2.0006;
    44    0.390             437            -374          2.0006;
    45    0.398             457            -390          2.0006;
    46    0.407             476            -407          2.0006;
    47    0.416             496            -424          2.0006;
    48    0.425             516            -441          2.0006;
    49    0.434             536            -459          2.0006;
    50    0.443             557            -476          2.0006;
    51    0.452             579            -495          2.0006;
    52    0.460             601            -513          2.0006;
    53    0.469             623            -532          2.0006;
    54    0.478             645            -551          2.0006;
    55    0.487             668            -570          2.0006;
    56    0.496             691            -590          2.0006;
    57    0.505             715            -610          2.0006;
    58    0.514             739            -630          2.0006;
    59    0.522             763            -650          2.0006;
    60    0.531             788            -671          2.0006;
    61    0.540             812            -692          2.0006;
    62    0.549             837            -713          2.0006;
    63    0.558             863            -735          2.0006;
    64    0.567             889            -757          2.0006;
    65    0.576             916            -779          2.0006;
    66    0.584             942            -801          2.0006;
    67    0.593             970            -824          2.0006;
    68    0.602             997            -847          2.0006;
    69    0.611            1025            -870          2.0006;
    70    0.620            1053            -893          2.0006;
    71    0.629            1082            -917          2.0006;
    72    0.638            1111            -941          2.0006;
    73    0.646            1140            -966          2.0006;
    74    0.655            1170            -991          2.0006;
    75    0.664            1200           -1016          2.0006;
    76    0.673            1231           -1041          2.0006;
    77    0.682            1262           -1067          2.0006;
    78    0.691            1294           -1092          2.0006;
    79    0.699            1325           -1119          2.0006;
    80    0.708            1357           -1145          2.0006;
    81    0.717            1390           -1172          2.0006;
    82    0.726            1424           -1199          2.0006;
    83    0.735            1457           -1227          2.0006;
    84    0.744            1491           -1255          2.0006;
    85    0.753            1525           -1283          2.0006;
    86    0.761            1560           -1311          2.0006;
    87    0.770            1596           -1340          2.0006;
    88    0.779            1631           -1369          2.0006;
    89    0.788            1667           -1399          2.0006;
    90    0.797            1704           -1428          2.0006;
    91    0.806            1741           -1459          2.0006;
    92    0.815            1779           -1489          2.0006;
    93    0.823            1817           -1520          2.0006;
    94    0.832            1855           -1551          2.0006;
    95    0.841            1893           -1582          2.0006;
    96    0.850            1933           -1613          2.0006;
    97    0.859            1972           -1645          2.0006;
    98    0.868            2012           -1678          2.0006;
    99    0.877            2052           -1710          2.0006;
   100    0.885            2093           -1743          2.0006;
   101    0.894            2134           -1776          2.0006;
   102    0.903            2175           -1809          2.0006;
   103    0.912            2217           -1843          2.0006;
   104    0.921            2259           -1877          2.0006;
   105    0.930            2302           -1911          2.0006;
   106    0.939            2344           -1945          2.0006;
   107    0.947            2387           -1980          2.0006;
   108    0.956            2431           -2015          2.0006;
   109    0.965            2475           -2050          2.0006;
   110    0.974            2519           -2086          2.0006;
   111    0.983            2564           -2121          2.0006;
   112    0.992            2609           -2157          2.0006;
   113    1.001            2655           -2194          2.0006;
   114    1.009            2700           -2230          2.0006;
   115    1.018            2746           -2267          2.0006;
   116    1.027            2793           -2304          2.0006;
   117    1.036            2840           -2341          2.0006;
   118    1.045            2887           -2378          2.0006;
   119    1.054            2935           -2416          2.0006;
   120    1.063            2983           -2454          2.0006;
   121    1.071            3032           -2493          2.0006;
   122    1.080            3081           -2531          2.0006;
   123    1.089            3130           -2570          2.0006;
   124    1.098            3180           -2609          2.0006;
   125    1.107            3230           -2649          2.0006;
   126    1.116            3280           -2688          2.0006;
   127    1.124            3331           -2728          2.0006;
   128    1.133            3382           -2768          2.0006;
   129    1.142            3434           -2808          2.0006;
   130    1.151            3486           -2849          2.0006;
   131    1.160            3538           -2889          2.0006;
   132    1.169            3590           -2930          2.0006;
   133    1.178            3644           -2971          2.0006;
   134    1.186            3697           -3012          2.0006;
   135    1.195            3751           -3053          2.0006;
   136    1.204            3805           -3094          2.0006;
   137    1.213            3859           -3136          2.0006;
   138    1.222            3914           -3177          2.0006;
   139    1.231            3969           -3219          2.0006;
   140    1.240            4024           -3261          2.0006;
   141    1.248            4079           -3304          2.0006;
   142    1.257            4135           -3346          2.0006;
   143    1.266            4191           -3389          2.0006;
   144    1.275            4247           -3432          2.0006;
   145    1.284            4304           -3475          2.0006;
   146    1.293            4361           -3519          2.0006;
   147    1.302            4419           -3562          2.0006;
   148    1.310            4477           -3606          2.0006;
   149    1.319            4535           -3651          2.0006;
   150    1.328            4594           -3695          2.0006;
   151    1.337            4653           -3740          2.0006;
   152    1.346            4712           -3785          2.0006;
   153    1.355            4771           -3830          2.0006;
   154    1.364            4832           -3875          2.0006;
   155    1.372            4892           -3921          2.0006;
   156    1.381            4954           -3966          2.0006;
   157    1.390            5015           -4012          2.0006;
   158    1.399            5077           -4058          2.0006;
   159    1.408            5139           -4105          2.0006;
   160    1.417            5201           -4152          2.0006;
   161    1.426            5264           -4200          2.0006;
   162    1.434            5328           -4247          2.0006;
   163    1.443            5391           -4295          2.0006;
   164    1.452            5456           -4343          2.0006;
   165    1.461            5520           -4391          2.0006;
   166    1.470            5585           -4440          2.0006;
   167    1.479            5651           -4488          2.0006;
   168    1.488            5717           -4537          2.0006;
   169    1.496            5784           -4587          2.0006;
   170    1.505            5850           -4636          2.0006;
   171    1.514            5917           -4686          2.0006;
   172    1.523            5984           -4736          2.0006;
   173    1.532            6051           -4786          2.0006;
   174    1.541            6119           -4836          2.0006;
   175    1.549            6187           -4887          2.0006;
   176    1.558            6255           -4938          2.0006;
   177    1.567            6324           -4989          2.0006;
   178    1.576            6392           -5040          2.0006;
   179    1.585            6461           -5092          2.0006;
   180    1.594            6531           -5144          2.0006;
   181    1.603            6601           -5196          2.0006;
   182    1.611            6670           -5248          2.0006;
   183    1.620            6741           -5301          2.0006;
   184    1.629            6812           -5354          2.0006;
   185    1.638            6883           -5407          2.0006;
   186    1.647            6955           -5460          2.0006;
   187    1.656            7026           -5514          2.0006;
   188    1.665            7099           -5568          2.0006;
   189    1.673            7171           -5622          2.0006;
   190    1.682            7245           -5676          2.0006;
   191    1.691            7319           -5731          2.0006;
   192    1.700            7393           -5786          2.0006;
   193    1.709            7468           -5841          2.0006;
   194    1.718            7542           -5896          2.0006;
   195    1.727            7618           -5952          2.0006;
   196    1.735            7694           -6008          2.0006;
   197    1.744            7771           -6065          2.0006;
   198    1.753            7848           -6122          2.0006;
   199    1.762            7926           -6179          2.0006;
   200    1.771            8004           -6236          2.0006;
   201    1.780            8081           -6294          2.0006;
   202    1.789            8160           -6352          2.0006;
